Cloud,VM-type,CPU-cores(vCPU),Memory,Location,Linux-price
Azure,Standard_GS1,2,28,Asia_pacific,0.66
Azure,Standard_GS2,4,56,Asia_pacific,1.32
Azure,Standard_GS3,8,112,Asia_pacific,2.64
Azure,Standard_GS4,16,224,Asia_pacific,5.28
Azure,Standard_GS5,32,448,Asia_pacific,9.39
Azure,Standard_L4s,4,32,Asia_pacific,0.374
Azure,Standard_L8s,8,64,Asia_pacific,0.748
Azure,Standard_L16s,16,128,Asia_pacific,1.496
Azure,Standard_L32s,32,256,Asia_pacific,2.992
Azure,Standard_F2s_v2,2,4,Asia_pacific,0.098
Azure,Standard_F4s_v2,4,8,Asia_pacific,0.196
Azure,Standard_F8s_v2,8,16,Asia_pacific,0.392
Azure,Standard_F16s_v2,16,32,Asia_pacific,0.784
Azure,Standard_F32s_v2,32,64,Asia_pacific,1.568
Azure,Standard_F48s_v2,48,96,Asia_pacific,2.352
Azure,Standard_F64s_v2,64,128,Asia_pacific,3.136
Azure,Standard_F72s_v2,72,144,Asia_pacific,3.528
Azure,Standard_ND6s,6,112,Asia_pacific,3.038
Azure,Standard_ND12s,12,224,Asia_pacific,6.077
Azure,Standard_ND24rs,24,448,Asia_pacific,13.369
Azure,Standard_ND24s,24,448,Asia_pacific,12.153
Azure,Standard_H8,8,56,Asia_pacific,0.555
Azure,Standard_H16,16,112,Asia_pacific,1.109
Azure,Standard_H8m,8,112,Asia_pacific,1.238
Azure,Standard_H16m,16,224,Asia_pacific,2.476
Azure,Standard_H16r,16,112,Asia_pacific,2.033
Azure,Standard_H16mr,16,224,Asia_pacific,2.724
Azure,Standard_PB6s,6,112,Asia_pacific,1.079
